username,userid,profile_location,created_at,text,retweet_count,source,coordinates
AVFC Lions Chicago,33111967,"Chicago, IL",2023-01-23 04:07:03,"Are you traveling from Chicago to Seattle for the 9th Annual North America meet up starting May 12? If so, what dat… https://t.co/0ixrulf0Et",0,Twitter for Android,
Super 70s Sports,2259809232,"Chicago, IL",2023-01-23 03:11:40,The first indication George Brett was going a little too heavy on the pine tar came when Morganna the Kissing Bandi… https://t.co/eFQwe9l6SV,22,Twitter for iPhone,
Rudy - 🦌,1088503617533956096,"Chicago, IL",2023-01-23 00:29:17,Turns out even the scheme can’t help brock purdy against a real defense that isn’t the Seattle Seahawks.,0,Twitter for iPhone,
MicKlachko,1602384922244677636,East of Chicago,2023-01-23 00:25:04,"@Sportz_DC Absolutely! But no more defense contracts, and no more federal earthquake insurance. And the rest of the… https://t.co/G7U6TGtSbM",0,Twitter for iPhone,
D-Man the Big Dogg,3303693103,"Chicago, IL",2023-01-22 23:49:56,"#WhiteSox First 10 Cactus League Games ⚾️🌵🧦

• San Diego - 2/25
• @. LA Angels - 2/26
• Seattle - 2/27
• @. Arizona… https://t.co/eSi1BSv1O7",1,Twitter for iPhone,
D-Man the Big Dogg,3303693103,"Chicago, IL",2023-01-22 23:49:55,"#Cubs First 10 Cactus League Games ⚾️🐻🌵

• San Francisco - 2/25
• @. LA Dodgers - 2/26
• Cleveland - 2/27 (SS)
• @.… https://t.co/yodNN9opQs",1,Twitter for iPhone,
cℓarisse basco 🌙,72175968,"Chicago, IL",2023-01-22 23:23:31,sunday seattle markets are a vibe ✨,0,Twitter for iPhone,
SABR BioProject,2153870472,"Chicago, IL",2023-01-22 21:56:19,Tommy Davis led the #Seattle Pilots w 80 RBIs and 29 2Bs in 1969. With the @Dodgers he led NL in BA in '62 &amp; '63 &amp;… https://t.co/KPc2GEWAuA,8,Twitter for iPhone,
BICYCLE MENACE,1019116318782566401,"Chicago, IL",2023-01-22 21:16:08,@Kuuix @EdithPaulos so funny to me that they had to find a picture of Seattle at the one specific angle that didn’t… https://t.co/mPMOR1z3qG,0,Twitter for iPhone,
BICYCLE MENACE,1019116318782566401,"Chicago, IL",2023-01-22 21:02:09,@EdithPaulos lmao the Seattle skyline does not look the same as London’s whatsoever,0,Twitter for iPhone,
D QUINN,26783527,"Naperville, IL",2023-01-22 21:00:00,"@HoopsWeiss Seattle made it in 1958, led by this guy: https://t.co/nVcvxUHfeN",0,Twitter Web App,
Age of Dalequarius ♒️,303355373,"Chicago, IL",2023-01-22 20:34:47,@DosCanSox @JayCuda That’s why I’m glad they’re doing Seattle for the next one,0,Twitter for iPhone,
Alexis 🏳️‍⚧️ (Pelletier SZN 🔥),1556425584007421953,"Chicago, IL",2023-01-22 19:54:13,Seattle Kraken: 💁🏾‍♀️ https://t.co/Fkvpk8eAHH,0,Twitter for iPhone,
Tahir Hashmi,503733777,"Chicago, IL",2023-01-22 19:33:22,@Peter_Bukowski That 2014 collapse in Seattle was the turning point for this organization,0,Twitter for iPhone,
UpToHear,1542129816924733440,Chicago,2023-01-22 19:23:23,"Seattle-based Smokey Brights bring us their new single, “Broken Too” https://t.co/zS71dJTClb https://t.co/nfRbWwFnT5",2,Twitter Web App,
Unknown,2994538900,United States,2023-01-22 18:14:52,"@AZ_Brittney What about Atlanta, Kenosha, Minneapolis, Seattle, Portland, and other democratic shit holes?",0,Twitter for iPhone,
Chicago Sun-Times,12811952,"Chicago, IL",2023-01-22 17:01:49,Which NHL arenas have the best ice? The Blackhawks offer their opinions https://t.co/n3nqxL29jB,0,SocialFlow,
