username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Ashley Anderson,2642735534,"Los Angeles, CA",2023-01-23 04:31:45,"@AlaskaAir unbelievable. After my connecting flight was delayed, causing me to wait almost 4 hours for the next fli… https://t.co/TKISYzyFOK",0,Twitter for iPhone,
patrickc,15397002,Los Angeles,2023-01-23 04:24:54,Ok Seattle is cool.,0,Twitter for iPhone,
Kris Tapley,14651308,"Los Angeles, CA",2023-01-23 04:07:50,Why is Ice Cube repping both Seattle and Chicago in the “Friday” video? https://t.co/cFiI4U1ExH,0,Twitter for iPhone,
SoCalTwelve,1361738394729021441,"Long Beach, CA",2023-01-23 03:48:03,"@SamiOnTap Disagree…I’m all for keeping everything in the NFC West. For starters, it makes Seattle’s loss to SF mor… https://t.co/MDDHHzoMJa",0,Twitter for iPhone,
Blade Brown™,384996385,"Brooklyn, NY",2023-01-23 03:20:21,"Geno Smith and Seattle put up 17 points in one half against the 9ers. 

For the Cowboys fans that tell me Dak is him, let that sink in.",0,Twitter for iPhone,
Jesse,762319514734297088,"Los Angeles, CA",2023-01-23 03:02:38,@6Blackhawks Him and ceedee are headed to Seattle,0,Twitter for iPhone,
Alex,126356190,"Los Angeles, California",2023-01-23 02:57:38,"Bodybagged Seattle, bounced Dallas once again. In my eyes they playing with house money from here on out 
#FTTB",0,Twitter for Android,
Kevin Strauss,19613007,Los Angeles,2023-01-23 02:40:02,Does Dak’s playoff win against Seattle where the Seahawks scored last count as one of his “20 game-winning drives i… https://t.co/LNbgBEAHvA,0,Twitter for iPhone,
tierra,2749859264,"Los Angeles, CA",2023-01-23 02:39:27,@alyssa_muysken HELLO!! And it’s freezing in Seattle,0,Twitter for iPhone,
derek kwan,173558436,"los angeles, ca",2023-01-23 02:36:13,@Espngreeny I think this is a Russ / Seattle situation where you can’t let Dak cook,0,Twitter for iPhone,
Jacque Roseboro,1572754604089131013,"Gardena, CA",2023-01-23 02:35:11,I had no faith in Dallas or Seattle beating the 9ers,0,Twitter for iPhone,
Mike L,25965253,"Los Angeles, CA",2023-01-23 02:28:16,"A week ago, or would've made total sense to run into astronomers at an airport as everyone cleared out of Seattle/… https://t.co/Y73zdmLBbT",0,Twitter for Android,
echod,2805948976,"long beach, ca",2023-01-23 02:20:32,@L4NCELOTmusic ay lets go to seattle,0,Twitter Web App,
Anna Lisa McClelland,108064168,Los Angeles,2023-01-23 02:13:38,@Theholisticpsyc Hell. I think they call it Seattle.,0,Twitter Web App,
Live Work,1210687725940047874,"Los Angeles, CA",2023-01-23 01:30:19,"Election Roundup: Transit Wins in Austin, Seattle, and Bay Area – StreetsblogMASS https://t.co/l7VjpAxuIp https://t.co/zk9amPpGHY",0,SocialBee.io v2,
Comic Art Crimes,961470309437075457,"Los Angeles, CA",2023-01-23 00:43:54,My friend Steve in Seattle. Bless him. https://t.co/UEGrVab4VP,0,Twitter for Android,
Liz Allman Seccuro,171114606,"Santa Monica, CA",2023-01-23 00:23:47,"Hey, Seattle! What’s good? #lovethistown",0,Twitter for iPhone,
Patrick Castro,1238687881805172738,"Los Angeles, CA",2023-01-23 00:23:32,the only thing getting me through jan is seattle next month ✨,0,Twitter for iPhone,
cj314,1125584555883188224,Los Angeles,2023-01-23 00:15:40,@Diobility @NinersNation Dallas is miles better than Seattle,0,Twitter for Android,
Aokiji クザン,23614711,"Los Angeles, California",2023-01-23 00:07:07,Yea that bullshit dont work we aint seattle,1,Twitter for iPhone,
P. Geerkens ✝️,949413744731480064,Ontario,2023-01-22 23:58:37,"@OccamsBraiser @Stalin_Apu Here is ""Almost"" Seattle to ""Almost Houston"" in U.S. compared to Ukraine and Western Rus… https://t.co/zF8kpVl0ee",0,Twitter Web App,
S2H,240033009,"Los Angeles, CA",2023-01-22 23:57:58,@FG_Dolan Not Seattle D out there,0,Twitter for iPhone,
Justin David Kish - Sports Journalist ✪,503765004,"Anaheim, California ",2023-01-22 23:57:06,Seattle Sea Dragons released quarterback Brian Lewreke. https://t.co/EKqk4VOZR1,0,Twitter Web App,
FOX Bet Live,1030457458949386246,"Los Angeles, CA",2023-01-22 23:37:55,Buffalo is the first preseason title favorite to not reach a conference championship game since Seattle in 2015… https://t.co/L65wK2OP7r,3,TweetDeck,
NFL Guru Joe ,532819897,"Long Beach, CA",2023-01-22 23:22:41,@The_Vaughn_ On god.  I always remember the 2013 NFC CG game between Niners and Seattle more than that boring ass 48-3 Super Bowl,0,Twitter for iPhone,
Bobbie Jennings,791806176962842624,"San Dimas, CA",2023-01-22 23:07:08,@AtTheMartins @jmw_SEATTLE Shame on you,0,Twitter for iPhone,
USC Women's Basketball,323291174,"Los Angeles, CA",2023-01-22 22:33:33,When in Seattle 😏✌️ https://t.co/C2QsC7FhzI,12,Twitter for iPhone,
USC Women's Basketball,323291174,"Los Angeles, CA",2023-01-22 22:21:33,"ROAD. DOGS. 😤

Pulled out a gritty win in Seattle to complete the road sweep of the Washington schools!

#FightOn |… https://t.co/ZBdZyI2HgX",23,Twitter for iPhone,
Anna Lisa McClelland,108064168,Los Angeles,2023-01-22 22:19:13,"@drdenwalker After my experiences living in Seattle and LA, I am not. We manufacture sociopaths. I guess it was nec… https://t.co/3wH4wSpPpL",1,Twitter Web App,
Player hater of the year silky johnson,2169202831,"Los Angeles, CA",2023-01-22 22:17:11,Do I have any friends in bands or know some local bands who would hop on a last minute show in Seattle in like late… https://t.co/TW7A2FViQU,0,Twitter for iPhone,
𝙹𝙻 𝙿𝚊𝚒𝚐𝚎 🇺🇸,1223702042,"Los Angeles, CA",2023-01-22 22:03:53,"@jstevenson49 @EricMMatheny You lost the plot with “Qrackhead” I suppose for you 2020 was “The Summer of Love” 
The… https://t.co/PrB9677gup",0,Twitter for iPad,
womenshoopsworld,42074095,Los Angeles,2023-01-22 21:55:56,"These two teams headed to OT in Seattle, tied at 54 https://t.co/WaXMksJlfQ",0,Twitter Web App,
USC Women's Basketball,323291174,"Los Angeles, CA",2023-01-22 21:55:44,"End of regulation: USC 54, UW 54

We're headed to overtime in Seattle.",0,Twitter Web App,
robby 🤠,181666400,"Los Angeles, CA",2023-01-22 21:20:59,"Dope weekend headlining Portland and Seattle with @matamoska_!

We honestly didn’t expect such a successful turnout… https://t.co/hXBalxuC12",1,Twitter for iPhone,
Eryn Young,923858401,Los Angeles,2023-01-22 21:19:51,@jessicapancakes @ambrown When I was a kid growing up in Seattle we did this on a field trip and it was pretty awesome.,0,Twitter for iPhone,
Garrett Nolan,52587723,"Los Angeles, CA",2023-01-22 21:16:45,Packing some flannel for Seattle. #INTIX2023 https://t.co/W8Hen7C9tt,0,Twitter for iPhone,
Keegan,3138178405,,2023-01-22 21:13:22,"After attendance cratered in Seattle under the prior archbishop who let parishes with weak leadership flounder, thi… https://t.co/saGpirZ9aW",0,Twitter for iPhone,
Ron Placone,24950207,"Los Angeles, CA",2023-01-22 21:11:20,"Today's #GetYourNewsOnWithRon Podcast! https://t.co/Q8OTBQIJND
-Is Ron DeSantis Gaining Trump's Base?

-Kshama Sawa… https://t.co/kyjauvMaPr",3,Twitter Web App,
Daryl Capen,181078251,"Whittier, CA",2023-01-22 21:09:15,"Bit but but...""they"" wanted the police defunded...remember?!

Seattle business owners left to fend for themselves o… https://t.co/VO9rservzM",0,Twitter Web App,
Keegan,3138178405,,2023-01-22 21:05:01,@thewongmann @justinjoboyle @newdougman @upzone_CA Seattle had decent service until ~1AM back in the day. If you so… https://t.co/DkJn1wVMj3,0,Twitter for iPhone,
USC Women's Basketball,323291174,"Los Angeles, CA",2023-01-22 20:43:52,Down 4️⃣ at the half in Seattle. https://t.co/iT60pnn742,1,Twitter Web App,
FELLA,1446276031623565340,"Los Angeles, CA",2023-01-22 20:29:30,"Sunday service https://t.co/udCRYJlWqv

#collectables #suiamchurch #suism #art #toys #painting #atlanta #anime #nyc… https://t.co/w4DwCVrMK9",0,Twitter for iPhone,
Maira Wenzel,90911370,"Manhattan Beach, CA",2023-01-22 20:09:22,@sinclairinat0r I had that prescribed as well when I was living in Seattle. Need to schedule my annual to make sure… https://t.co/XAMmY1DS48,0,Twitter for iPhone,
citygal340,1593773256133120001,"Los Angeles, CA",2023-01-22 19:51:39,"@ColinDangColin @AndyHarrisFan Still they aren’t that non religious, actual satan zones is probably Portland Seattl… https://t.co/1WQyIHgVn1",0,Twitter for iPhone,
USC Women's Basketball,323291174,"Los Angeles, CA",2023-01-22 19:47:29,Getting ready to let it fly in Seattle. Just over 10 minutes until tip! https://t.co/BPHS8cBgE0,1,Twitter for iPhone,
Don Mario 🥂,111199735,"Los Angeles, CA",2023-01-22 19:13:52,It snowed in Seattle… lame as hell lol,0,Twitter for iPhone,
Scott Pellett,790321520,"Venice, Los Angeles",2023-01-22 19:02:18,Everyone in Seattle must have TSA pre-check. 1st time it hasn’t been a breeze for me #travel,0,Twitter for iPhone,
Ben Pouladian,30399584,"Los Angeles, CA",2023-01-22 18:44:14,Great podcast by the ⁦@TreppWire team summarizing this weeks events and how it’s affecting commercial real estate.… https://t.co/JKARiBx83P,2,Twitter for iPhone,
Nesh,22970067,"Gardena, CA",2023-01-22 18:33:17,"Brown Sugar, Two Can Play that Game, Last Holiday, Phat Girlz, The Mummy 1&amp;2, Serendipity, Sleepless in Seattle, Yo… https://t.co/0S7bDIbWdo",0,Twitter for iPhone,
👑 AD,1163632268780474370,"Compton, CA",2023-01-22 18:22:18,Seahawks QB Coach Dave Canales Requested for Interview in AFC North https://t.co/tYh74hzVwb via @All_SeahawksFN,0,Twitter for iPhone,
Kostas Moros,1003007811679219712,Los Angeles,2023-01-22 18:07:14,"@high_in_seattle Ya man, I'm even always careful not to credit constitutional carry enactment to falling murder rat… https://t.co/v2aEsEzAha",0,Twitter Web App,
S M,14814915,"Los Angeles, CA",2023-01-22 17:46:45,Prostitutes Prowl Seattle Streets With Hamstrung Police Watching Helplessly a Block Away https://t.co/yQwws1lvMX,0,Twitter Web App,
LOS ANGELES BLACK BASEBALL MUSEUM -#LABBM,1293716690614681603,LOS ANGELES,2023-01-22 17:40:05,"PATRICK LENNON💨
6'2"", 200LB
Drafted by the Seattle Mariners in the 1st round💯
of the 1986 Draft from Whiteville HS-… https://t.co/YQrXH22rg9",0,Twitter Web App,
King Large “Official”⭐️,1344408317267824640,"Pasadena, CA",2023-01-22 17:30:09,"Some highlights from the Pylon 5v5 tournament in Seattle! Against some of the best comp in the nation 💪🏾 
@Scout_DL… https://t.co/0wzUfM6hBX",4,Twitter for iPhone,
Brett Ashley Hawkins,297128800,"Long Beach, California",2023-01-22 17:27:26,"I’m annoying as fuck, but honest. Making Lunar New Year dumplings for my friends in Seattle! I’m walking to Whole F… https://t.co/OPISybZOCb",0,Twitter for iPhone,
makeitrad,1372377596575412225,"Los Angeles, CA ",2023-01-22 17:08:36,"@KskeetP Thanks Seattle! 🤜🤛☀️
GM sir",0,Twitter for iPhone,
Michael Waller Jr.,1518632882742325248,"Pasadena, CA",2023-01-22 17:03:16,@BennettDurando Yup just moved from Seattle the whole building process was great make sure you try seafood,0,Twitter for iPhone,
Kyle Hyatt,145176099,"Pasadena, CA",2023-01-22 16:56:12,"@TamerlaneBlog I worked at a now-defunct small, mom &amp; pop (and coke-addled dealer principal son) Ford dealer on the… https://t.co/phBs73v0Zy",0,Twitter Web App,
